"id","questions","answers"
"1","What is the main job of a router in a home network?","It connects different networks and routes traffic between your LAN and the internet."
"2","What is the main job of a switch on a LAN?","It connects devices on the same local network and forwards frames to the correct port."
"3","What does DHCP do for network clients?","It automatically assigns IP settings like IP address, gateway, and DNS."
"4","What does DNS do for users on a network?","It translates domain names (like example.com) into IP addresses."
"5","What is the purpose of a subnet mask?","It tells which part of an IP address is the network and which part is the host."
"6","What is the main function of a firewall?","It filters network traffic based on rules to allow or block connections."
"7","What is NAT mainly used for on a router?","It lets many private LAN devices share one public IP address."
"8","What is the difference in function between TCP and UDP?","TCP is reliable and checks delivery; UDP is faster with no delivery guarantee."
"9","What does a VPN mainly provide?","An encrypted tunnel for secure access to a network over the internet."
"10","What is the purpose of a default gateway?","It is the router address a device uses to reach other networks."
"11","What is the main function of an access point (AP)?","It provides Wi-Fi connectivity to a wired network."
"12","Why would you use WPA3 on Wi-Fi?","To improve wireless security with stronger encryption and protections."
"13","What is the purpose of port numbers in networking?","They identify specific services on a device, like web traffic on port 80/443."
"14","What is a MAC address used for?","It identifies a network interface on the local network for frame delivery."
"15","What does “bandwidth” describe?","The maximum amount of data that can be transmitted per second."
"16","What does “latency” describe?","The delay time it takes for data to travel from source to destination."
"17","What is the primary function of PoE (Power over Ethernet)?","It delivers electrical power and network data over the same Ethernet cable."
"18","What is the purpose of a patch panel in structured cabling?","To organize and terminate network cables in a clean, manageable way."
"19","What does a network loopback test (like pinging 127.0.0.1) verify?","It checks that the local TCP/IP stack is working on the device."
"20","What is the purpose of a VLAN?","It logically separates network traffic into different virtual networks on the same hardware."
