"id","questions","answers"
"1","What is the main purpose of a strong password?","To make it difficult for others to guess or crack your account access."
"2","What is multi-factor authentication (MFA) used for?","To require a second proof of identity beyond a password, improving account security."
"3","What is phishing?","A scam where attackers trick you into giving passwords or personal info using fake messages/sites."
"4","What is malware?","Malicious software designed to harm devices, steal data, or control systems."
"5","What is ransomware?","Malware that locks or encrypts your files and demands payment to restore access."
"6","What is the main purpose of antivirus/anti-malware software?","To detect, block, and remove malicious software."
"7","What is social engineering?","Manipulating people to reveal information or do unsafe actions instead of hacking the system directly."
"8","What is the purpose of encryption?","To scramble data so only authorized people with the key can read it."
"9","What is the purpose of a VPN for security?","To encrypt your connection, especially on public networks, to reduce spying and data theft."
"10","What is the main security risk of public Wi-Fi?","Others may intercept traffic or trick you into connecting to a fake network."
"11","What is the principle of least privilege?","Users should only get the access they need—no extra permissions."
"12","Why should you lock your screen when you walk away?","To prevent unauthorized people from accessing your account and data."
"13","What is a software patch?","An update that fixes bugs and security holes in software."
"14","What is a zero-day vulnerability?","A security flaw that is unknown to the software maker or not yet patched."
"15","What is the purpose of a backup for security?","To recover data if it is deleted, corrupted, or attacked (like ransomware)."
"16","What is the function of a password manager?","It stores and creates strong unique passwords so you dont reuse weak ones."
"17","What does “shoulder surfing” mean?","Someone steals info by watching you type passwords or view private data."
"18","What is the purpose of secure disposal (like shredding drives)?","To prevent sensitive data from being recovered after you throw hardware away."
"19","What does “biometric authentication” do?","It uses a fingerprint/face to prove identity for device or account access."
"20","Why is software whitelisting useful?","It allows only approved programs to run, reducing malware infections."
