"id","questions","answers"
"1","What is the first step in the CompTIA troubleshooting method?","Identify the problem (gather information, question users, check symptoms)."
"2","Why is it important to establish a theory of probable cause?","It narrows the issue so you test likely causes instead of guessing randomly."
"3","What does it mean to test the theory to determine cause?","You run a safe check/change to confirm whether your suspected cause is correct."
"4","Why should you create an action plan before making major changes?","To reduce risk, prevent data loss, and make sure the fix is controlled."
"5","Why do you verify full system functionality after a fix?","To ensure the original problem is solved and nothing else broke."
"6","Why is documentation important after troubleshooting?","It records the issue and fix so it’s faster to solve next time and helps others."
"7","If a computer will not power on at all, what is a basic first check?","Confirm power source: outlet, power cable, PSU switch, and power strip."
"8","If a laptop battery is not charging, what is a likely hardware check?","Check the charger, port, and verify the adapter provides correct power."
"9","What does it suggest if a device gets an IP address starting with 169.254?","It likely failed to get DHCP and assigned itself an APIPA address."
"10","If Wi-Fi works but wired Ethernet does not, what is a good first test?","Try a different Ethernet cable and a different switch/router port."
"11","What is the purpose of using ping to troubleshoot?","To test network connectivity to a host and identify where communication fails."
"12","What does “reboot” help solve in many cases?","It clears temporary software/hardware states and restarts services cleanly."
"13","Why would you check Device Manager (or similar) for troubleshooting?","To find missing drivers, disabled devices, or hardware errors."
"14","If a PC overheats and shuts down, what is a likely cause?","Poor cooling: dust buildup, failed fan, or improper thermal paste contact."
"15","If a printer is connected but won’t print, what is one function-based check?","Check the print queue/spooler and confirm the correct printer is selected."
"16","What does a continuous beeping at startup often indicate?","A hardware POST problem such as RAM issues (varies by BIOS/UEFI)."
"17","If a network is slow for everyone, what is a function-based check?","Check router/modem status and bandwidth usage, then test the ISP connection."
"18","If only one website won’t load but others do, what is a likely cause?","A DNS issue for that domain, website outage, or local filtering/blocking."
"19","What is the function of a loopback plug test on a port?","To test whether a network port can send and receive signals on itself."
"20","When should you escalate a troubleshooting ticket?","When it’s beyond your permissions/skills, affects safety, or needs specialized tools."
