"id","questions","answers"
"1","What is the main function of the CPU?","It executes instructions and performs calculations for programs and the OS."
"2","What is the main function of RAM?","It temporarily stores data and programs currently in use for fast access."
"3","What is the purpose of an SSD compared to an HDD?","An SSD stores data with faster access times and no moving parts."
"4","What does a motherboard primarily do?","It connects and lets components communicate (CPU, RAM, storage, expansion)."
"5","What is the main function of a GPU?","It processes graphics and accelerates tasks like rendering and some compute workloads."
"6","What does a PSU (power supply unit) do?","It converts AC wall power into DC power for computer components."
"7","What is the purpose of a heat sink and fan?","To remove heat from components like the CPU to prevent overheating."
"8","What is the function of BIOS/UEFI firmware?","It initializes hardware and starts the boot process for the operating system."
"9","What is the main purpose of a PCIe slot?","To add expansion cards like GPUs, network cards, or NVMe adapters."
"10","What does an NVMe drive connect through for performance?","PCIe lanes, providing high-speed storage access."
"11","What is the function of a SATA data cable?","To transfer data between a SATA drive and the motherboard."
"12","What is the purpose of a case front-panel connector?","To connect power button, reset button, LEDs, and front ports to the motherboard."
"13","What does a UPS (uninterruptible power supply) mainly provide?","Battery backup power to prevent shutdown during short outages and surges."
"14","What is the main function of a monitor?","To display visual output from the computer."
"15","What is the function of a keyboard and mouse?","They provide user input to control the system and enter data."
"16","What does “dual-channel memory” improve?","Memory bandwidth by using matched RAM in paired channels."
"17","What is the purpose of a system bus/PCIe lanes?","They move data between CPU, memory, storage, and expansion devices."
"18","What is the main function of a sound card (or onboard audio)?","To process audio input/output for speakers, headphones, and microphones."
"19","What does a printer’s driver mainly do?","It translates computer print jobs into a format the printer understands."
"20","What is the purpose of a docking station for laptops?","To expand ports and connect to monitors/peripherals with one connection."
