"id","questions","answers"
"1","What is the main purpose of an operating system (OS)?","To manage hardware and software so programs can run and the user can control the computer."
"2","What is the function of the kernel?","It is the core part of the OS that controls memory, processes, and hardware communication."
"3","What does it mean to “boot” a computer?","To start the system and load the operating system into memory."
"4","What is Safe Mode mainly used for?","To start the OS with minimal drivers/services to help troubleshoot problems."
"5","What is the purpose of user accounts on an OS?","To separate users and control what each person can access or change."
"6","What is the function of an administrator account?","It can install software, change system settings, and manage other accounts."
"7","What is the purpose of device drivers?","They let the OS communicate correctly with hardware like printers, GPUs, and Wi-Fi cards."
"8","What does a file system do?","It organizes and stores files and folders on a drive so the OS can find and use them."
"9","What is the main function of Task Manager (or Activity Monitor)?","To view and manage running apps/processes and system resource usage."
"10","What does “End Task/Force Quit” do?","It stops a frozen program so the computer can respond again."
"11","What is the purpose of system updates?","To fix bugs, improve performance, and patch security vulnerabilities."
"12","What is the function of a restore point (System Restore)?","To roll back system settings/files to an earlier working state."
"13","What is the purpose of disk cleanup/storage management tools?","To remove unnecessary files and free up storage space."
"14","What does “formatting a drive” mainly do?","It prepares the drive with a file system and usually erases existing data."
"15","What is the purpose of the Command Prompt/Terminal?","To run text commands to manage files, settings, and troubleshooting tools."
"16","What does “installing an OS” mean?","Copying OS files to a drive and setting it up so the computer can start and run it."
"17","What is the function of a partition?","It divides a physical drive into separate sections that can store data or different OS installs."
"18","What is the purpose of virtualization features in an OS?","To support running virtual machines or virtual environments more efficiently."
"19","What is the purpose of a firewall built into an OS?","To help block unwanted network connections and protect the system."
"20","What does it mean to set a default application?","Choosing which app opens a file type automatically (like PDFs opening in a specific reader)."
