"id","questions","answers"
"1","Why should you get user approval before remote controlling their computer?","To respect privacy and follow policy for consent and transparency."
"2","What is the purpose of a “knowledge base” in IT support?","A searchable collection of known issues and solutions to speed up fixes."
"3","Why do technicians use checklists for installs and repairs?","To reduce mistakes and ensure steps are completed consistently."
"4","What is the function of an incident report?","To document what happened, impact, and actions taken—especially for security events."
"5","Why do organizations schedule preventative maintenance?","To reduce failures by cleaning, updating, and checking systems regularly."
"6","What is the purpose of an inventory audit?","To confirm what devices exist, where they are, and their current status."
"7","Why is it important to follow warranty rules during repairs?","Incorrect repairs can void coverage and increase cost."
"8","What does “decommissioning” equipment mean?","Retiring a device safely, including data removal and proper disposal."
"9","Why is it important to store spare parts properly?","To prevent damage, loss, or mixing incompatible parts."
"10","What is the purpose of documenting network diagrams?","So others can understand connections and troubleshoot faster."
"11","Why should you avoid using personal accounts on work devices?","It can violate policy and increase data/security risks."
"12","What is the function of an on-call rotation?","To ensure support coverage during nights/weekends or emergencies."
"13","Why do organizations use standard naming conventions?","To keep systems organized and easier to manage/troubleshoot."
"14","What is the purpose of user training during a rollout?","To reduce errors and support requests by teaching correct use."
"15","Why is it important to follow safety procedures when lifting equipment?","To prevent injury and avoid dropping/damaging devices."
"16","What is the function of an escalation path?","It defines who to contact next when an issue needs higher-level support."
"17","Why should you verify backups by testing restores?","A backup is only useful if it can actually be restored successfully."
"18","What is the purpose of a post-incident review?","To learn what went wrong and prevent the same issue from happening again."
"19","Why do organizations restrict physical access to server rooms?","To prevent tampering, theft, and accidental damage to critical systems."
"20","What does “maintenance documentation” typically include?","Date, actions performed, parts used, results, and any follow-up needed."
