"id","questions","answers"
"1","What is virtualization in simple terms?","Running one or more virtual computers (VMs) on a physical computer."
"2","What is a hypervisor’s main job?","It creates and manages virtual machines and shares hardware resources."
"3","What is the difference between a host and a guest?","The host is the physical machine; the guest is the virtual machine running on it."
"4","What is a snapshot used for in a VM?","To save a point-in-time state so you can roll back after changes."
"5","What is “elasticity” in cloud computing?","The ability to quickly scale resources up or down based on demand."
"6","What does IaaS mainly provide?","Virtualized hardware resources like servers, storage, and networking."
"7","What does PaaS mainly provide?","A platform to build/run apps without managing the underlying servers."
"8","What does SaaS mainly provide?","Fully managed software accessed over the internet (like web-based email)."
"9","What is the function of a cloud region?","A geographic area containing multiple data centers for cloud services."
"10","What is the function of a cloud availability zone?","A separate data center location within a region for redundancy."
"11","What is multi-tenancy in the cloud?","Multiple customers share the same physical infrastructure securely separated."
"12","What is a container mainly used for?","Packaging an app with its dependencies so it runs consistently anywhere."
"13","How is a container different from a VM functionally?","Containers share the host OS kernel; VMs include their own OS."
"14","What does “load balancing” do in cloud services?","It spreads traffic across multiple servers to improve reliability and performance."
"15","What is the purpose of cloud object storage?","To store files as objects (like photos/backups) with high scalability."
"16","What is the purpose of cloud identity and access management (IAM)?","To control who can access cloud resources and what they can do."
"17","What does “high availability” aim to achieve?","Keeping services running even if a server or site fails."
"18","What is a virtual network (VPC/VNet) used for?","A private, isolated network space for cloud resources."
"19","What is the main benefit of cloud backups?","Off-site data protection and easier recovery after loss or failure."
"20","What is “cloud migration” in one sentence?","Moving apps/data from on-premises systems to cloud services."
